1,1,1,2022-10-10
2,1,1,2022-10-11
3,1,1,2022-10-12
4,1,1,2022-10-13
5,1,1,2022-10-14
6,1,1,2022-10-15
7,1,1,2022-10-16
8,1,1,2022-10-17
9,1,1,2022-10-18
10,1,1,2022-10-19
11,1,1,2022-10-20
12,1,2,2022-09-21
13,1,2,2022-09-22
14,1,2,2022-09-23
15,1,2,2022-09-24
16,1,2,2022-09-25
17,1,2,2022-09-26
18,1,2,2022-09-27
19,1,2,2022-09-28
20,1,2,2022-09-29
21,1,2,2022-09-30
22,1,2,2022-10-01
23,1,2,2022-10-02
24,1,2,2022-10-03
25,1,2,2022-10-04
26,1,2,2022-10-05
27,1,2,2022-10-06
28,1,2,2022-10-07
29,1,2,2022-10-08
30,1,2,2022-10-09
31,1,2,2022-10-10
32,1,2,2022-10-11
33,1,2,2022-10-12
34,1,2,2022-10-13
35,1,2,2022-10-14
36,1,2,2022-10-15
37,1,3,2022-10-12
38,1,3,2022-10-15
39,1,3,2022-10-20
40,1,3,2022-10-31
41,2,4,2022-12-10
42,2,5,2023-02-05
43,2,6,2023-05-22
44,1,9,2022-09-22
